C,A,vol_factor,ad_ratio,total_return
0.05,0.05,1.1,1.0,0.019321819100520887
0.05,0.05,1.1,1.25,0.019321819100520887
0.05,0.05,1.1,1.5,0.019321819100520887
0.05,0.05,1.1,1.75,0.019321819100520887
0.05,0.05,1.1,2.0,0.019321819100520887
0.05,0.05,1.3250000000000002,1.0,0.0996296212946417
0.05,0.05,1.3250000000000002,1.25,0.0996296212946417
0.05,0.05,1.3250000000000002,1.5,0.0996296212946417
0.05,0.05,1.3250000000000002,1.75,0.0996296212946417
0.05,0.05,1.3250000000000002,2.0,0.0996296212946417
0.05,0.05,1.55,1.0,-0.0851646143644984
0.05,0.05,1.55,1.25,-0.0851646143644984
0.05,0.05,1.55,1.5,-0.0851646143644984
0.05,0.05,1.55,1.75,-0.0851646143644984
0.05,0.05,1.55,2.0,-0.0851646143644984
0.05,0.05,1.775,1.0,-0.1321674677165796
0.05,0.05,1.775,1.25,-0.1321674677165796
0.05,0.05,1.775,1.5,-0.1321674677165796
0.05,0.05,1.775,1.75,-0.1321674677165796
0.05,0.05,1.775,2.0,-0.1321674677165796
0.05,0.05,2.0,1.0,-0.11115054898576404
0.05,0.05,2.0,1.25,-0.11115054898576404
0.05,0.05,2.0,1.5,-0.11115054898576404
0.05,0.05,2.0,1.75,-0.11115054898576404
0.05,0.05,2.0,2.0,-0.11115054898576404
0.05,0.1,1.1,1.0,-0.09228421288792132
0.05,0.1,1.1,1.25,-0.09228421288792132
0.05,0.1,1.1,1.5,-0.09228421288792132
0.05,0.1,1.1,1.75,-0.09228421288792132
0.05,0.1,1.1,2.0,-0.09228421288792132
0.05,0.1,1.3250000000000002,1.0,-0.026952080577159365
0.05,0.1,1.3250000000000002,1.25,-0.026952080577159365
0.05,0.1,1.3250000000000002,1.5,-0.026952080577159365
0.05,0.1,1.3250000000000002,1.75,-0.026952080577159365
0.05,0.1,1.3250000000000002,2.0,-0.026952080577159365
0.05,0.1,1.55,1.0,-0.0851646143644984
0.05,0.1,1.55,1.25,-0.0851646143644984
0.05,0.1,1.55,1.5,-0.0851646143644984
0.05,0.1,1.55,1.75,-0.0851646143644984
0.05,0.1,1.55,2.0,-0.0851646143644984
0.05,0.1,1.775,1.0,-0.1321674677165796
0.05,0.1,1.775,1.25,-0.1321674677165796
0.05,0.1,1.775,1.5,-0.1321674677165796
0.05,0.1,1.775,1.75,-0.1321674677165796
0.05,0.1,1.775,2.0,-0.1321674677165796
0.05,0.1,2.0,1.0,-0.11115054898576404
0.05,0.1,2.0,1.25,-0.11115054898576404
0.05,0.1,2.0,1.5,-0.11115054898576404
0.05,0.1,2.0,1.75,-0.11115054898576404
0.05,0.1,2.0,2.0,-0.11115054898576404
0.05,0.15000000000000002,1.1,1.0,-0.09619380692296997
0.05,0.15000000000000002,1.1,1.25,-0.09619380692296997
0.05,0.15000000000000002,1.1,1.5,-0.09619380692296997
0.05,0.15000000000000002,1.1,1.75,-0.09619380692296997
0.05,0.15000000000000002,1.1,2.0,-0.09619380692296997
0.05,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.05,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.05,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.05,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.05,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.05,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.05,0.15000000000000002,1.55,1.25,-0.1104394568616135
0.05,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.05,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.05,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.05,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.05,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.05,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.05,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.05,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.05,0.15000000000000002,2.0,1.0,-0.147747455286794
0.05,0.15000000000000002,2.0,1.25,-0.147747455286794
0.05,0.15000000000000002,2.0,1.5,-0.147747455286794
0.05,0.15000000000000002,2.0,1.75,-0.147747455286794
0.05,0.15000000000000002,2.0,2.0,-0.147747455286794
0.05,0.2,1.1,1.0,-0.05107194364428036
0.05,0.2,1.1,1.25,-0.05107194364428036
0.05,0.2,1.1,1.5,-0.05107194364428036
0.05,0.2,1.1,1.75,-0.05107194364428036
0.05,0.2,1.1,2.0,-0.05107194364428036
0.05,0.2,1.3250000000000002,1.0,0.019568240733431663
0.05,0.2,1.3250000000000002,1.25,0.019568240733431663
0.05,0.2,1.3250000000000002,1.5,0.019568240733431663
0.05,0.2,1.3250000000000002,1.75,0.019568240733431663
0.05,0.2,1.3250000000000002,2.0,0.019568240733431663
0.05,0.2,1.55,1.0,-0.06602879723894073
0.05,0.2,1.55,1.25,-0.06602879723894073
0.05,0.2,1.55,1.5,-0.06602879723894073
0.05,0.2,1.55,1.75,-0.06602879723894073
0.05,0.2,1.55,2.0,-0.06602879723894073
0.05,0.2,1.775,1.0,-0.1263570050488897
0.05,0.2,1.775,1.25,-0.1263570050488897
0.05,0.2,1.775,1.5,-0.1263570050488897
0.05,0.2,1.775,1.75,-0.1263570050488897
0.05,0.2,1.775,2.0,-0.1263570050488897
0.05,0.2,2.0,1.0,-0.10519937020392511
0.05,0.2,2.0,1.25,-0.10519937020392511
0.05,0.2,2.0,1.5,-0.10519937020392511
0.05,0.2,2.0,1.75,-0.10519937020392511
0.05,0.2,2.0,2.0,-0.10519937020392511
0.05,0.25,1.1,1.0,-0.26078755953042454
0.05,0.25,1.1,1.25,-0.26078755953042454
0.05,0.25,1.1,1.5,-0.26078755953042454
0.05,0.25,1.1,1.75,-0.26078755953042454
0.05,0.25,1.1,2.0,-0.26078755953042454
0.05,0.25,1.3250000000000002,1.0,0.019568240733431663
0.05,0.25,1.3250000000000002,1.25,0.019568240733431663
0.05,0.25,1.3250000000000002,1.5,0.019568240733431663
0.05,0.25,1.3250000000000002,1.75,0.019568240733431663
0.05,0.25,1.3250000000000002,2.0,0.019568240733431663
0.05,0.25,1.55,1.0,-0.06602879723894073
0.05,0.25,1.55,1.25,-0.06602879723894073
0.05,0.25,1.55,1.5,-0.06602879723894073
0.05,0.25,1.55,1.75,-0.06602879723894073
0.05,0.25,1.55,2.0,-0.06602879723894073
0.05,0.25,1.775,1.0,-0.1263570050488897
0.05,0.25,1.775,1.25,-0.1263570050488897
0.05,0.25,1.775,1.5,-0.1263570050488897
0.05,0.25,1.775,1.75,-0.1263570050488897
0.05,0.25,1.775,2.0,-0.1263570050488897
0.05,0.25,2.0,1.0,-0.10519937020392511
0.05,0.25,2.0,1.25,-0.10519937020392511
0.05,0.25,2.0,1.5,-0.10519937020392511
0.05,0.25,2.0,1.75,-0.10519937020392511
0.05,0.25,2.0,2.0,-0.10519937020392511
0.1,0.05,1.1,1.0,-0.16930402191529637
0.1,0.05,1.1,1.25,-0.16930402191529637
0.1,0.05,1.1,1.5,-0.16930402191529637
0.1,0.05,1.1,1.75,-0.16930402191529637
0.1,0.05,1.1,2.0,-0.16930402191529637
0.1,0.05,1.3250000000000002,1.0,0.0996296212946417
0.1,0.05,1.3250000000000002,1.25,0.0996296212946417
0.1,0.05,1.3250000000000002,1.5,0.0996296212946417
0.1,0.05,1.3250000000000002,1.75,0.0996296212946417
0.1,0.05,1.3250000000000002,2.0,0.0996296212946417
0.1,0.05,1.55,1.0,-0.0851646143644984
0.1,0.05,1.55,1.25,-0.0851646143644984
0.1,0.05,1.55,1.5,-0.0851646143644984
0.1,0.05,1.55,1.75,-0.0851646143644984
0.1,0.05,1.55,2.0,-0.0851646143644984
0.1,0.05,1.775,1.0,-0.1321674677165796
0.1,0.05,1.775,1.25,-0.1321674677165796
0.1,0.05,1.775,1.5,-0.1321674677165796
0.1,0.05,1.775,1.75,-0.1321674677165796
0.1,0.05,1.775,2.0,-0.1321674677165796
0.1,0.05,2.0,1.0,-0.11115054898576404
0.1,0.05,2.0,1.25,-0.11115054898576404
0.1,0.05,2.0,1.5,-0.11115054898576404
0.1,0.05,2.0,1.75,-0.11115054898576404
0.1,0.05,2.0,2.0,-0.11115054898576404
0.1,0.1,1.1,1.0,-0.26025732063365636
0.1,0.1,1.1,1.25,-0.26025732063365636
0.1,0.1,1.1,1.5,-0.26025732063365636
0.1,0.1,1.1,1.75,-0.26025732063365636
0.1,0.1,1.1,2.0,-0.26025732063365636
0.1,0.1,1.3250000000000002,1.0,-0.026952080577159365
0.1,0.1,1.3250000000000002,1.25,-0.026952080577159365
0.1,0.1,1.3250000000000002,1.5,-0.026952080577159365
0.1,0.1,1.3250000000000002,1.75,-0.026952080577159365
0.1,0.1,1.3250000000000002,2.0,-0.026952080577159365
0.1,0.1,1.55,1.0,-0.0851646143644984
0.1,0.1,1.55,1.25,-0.0851646143644984
0.1,0.1,1.55,1.5,-0.0851646143644984
0.1,0.1,1.55,1.75,-0.0851646143644984
0.1,0.1,1.55,2.0,-0.0851646143644984
0.1,0.1,1.775,1.0,-0.1321674677165796
0.1,0.1,1.775,1.25,-0.1321674677165796
0.1,0.1,1.775,1.5,-0.1321674677165796
0.1,0.1,1.775,1.75,-0.1321674677165796
0.1,0.1,1.775,2.0,-0.1321674677165796
0.1,0.1,2.0,1.0,-0.11115054898576404
0.1,0.1,2.0,1.25,-0.11115054898576404
0.1,0.1,2.0,1.5,-0.11115054898576404
0.1,0.1,2.0,1.75,-0.11115054898576404
0.1,0.1,2.0,2.0,-0.11115054898576404
0.1,0.15000000000000002,1.1,1.0,-0.2634434429946245
0.1,0.15000000000000002,1.1,1.25,-0.2634434429946245
0.1,0.15000000000000002,1.1,1.5,-0.2634434429946245
0.1,0.15000000000000002,1.1,1.75,-0.2634434429946245
0.1,0.15000000000000002,1.1,2.0,-0.2634434429946245
0.1,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.1,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.1,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.1,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.1,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.1,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.1,0.15000000000000002,1.55,1.25,-0.1104394568616135
0.1,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.1,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.1,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.1,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.1,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.1,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.1,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.1,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.1,0.15000000000000002,2.0,1.0,-0.147747455286794
0.1,0.15000000000000002,2.0,1.25,-0.147747455286794
0.1,0.15000000000000002,2.0,1.5,-0.147747455286794
0.1,0.15000000000000002,2.0,1.75,-0.147747455286794
0.1,0.15000000000000002,2.0,2.0,-0.147747455286794
0.1,0.2,1.1,1.0,-0.2266713954950711
0.1,0.2,1.1,1.25,-0.2266713954950711
0.1,0.2,1.1,1.5,-0.2266713954950711
0.1,0.2,1.1,1.75,-0.2266713954950711
0.1,0.2,1.1,2.0,-0.2266713954950711
0.1,0.2,1.3250000000000002,1.0,0.019568240733431663
0.1,0.2,1.3250000000000002,1.25,0.019568240733431663
0.1,0.2,1.3250000000000002,1.5,0.019568240733431663
0.1,0.2,1.3250000000000002,1.75,0.019568240733431663
0.1,0.2,1.3250000000000002,2.0,0.019568240733431663
0.1,0.2,1.55,1.0,-0.06602879723894073
0.1,0.2,1.55,1.25,-0.06602879723894073
0.1,0.2,1.55,1.5,-0.06602879723894073
0.1,0.2,1.55,1.75,-0.06602879723894073
0.1,0.2,1.55,2.0,-0.06602879723894073
0.1,0.2,1.775,1.0,-0.1263570050488897
0.1,0.2,1.775,1.25,-0.1263570050488897
0.1,0.2,1.775,1.5,-0.1263570050488897
0.1,0.2,1.775,1.75,-0.1263570050488897
0.1,0.2,1.775,2.0,-0.1263570050488897
0.1,0.2,2.0,1.0,-0.10519937020392511
0.1,0.2,2.0,1.25,-0.10519937020392511
0.1,0.2,2.0,1.5,-0.10519937020392511
0.1,0.2,2.0,1.75,-0.10519937020392511
0.1,0.2,2.0,2.0,-0.10519937020392511
0.1,0.25,1.1,1.0,-0.26078755953042454
0.1,0.25,1.1,1.25,-0.26078755953042454
0.1,0.25,1.1,1.5,-0.26078755953042454
0.1,0.25,1.1,1.75,-0.26078755953042454
0.1,0.25,1.1,2.0,-0.26078755953042454
0.1,0.25,1.3250000000000002,1.0,0.019568240733431663
0.1,0.25,1.3250000000000002,1.25,0.019568240733431663
0.1,0.25,1.3250000000000002,1.5,0.019568240733431663
0.1,0.25,1.3250000000000002,1.75,0.019568240733431663
0.1,0.25,1.3250000000000002,2.0,0.019568240733431663
0.1,0.25,1.55,1.0,-0.06602879723894073
0.1,0.25,1.55,1.25,-0.06602879723894073
0.1,0.25,1.55,1.5,-0.06602879723894073
0.1,0.25,1.55,1.75,-0.06602879723894073
0.1,0.25,1.55,2.0,-0.06602879723894073
0.1,0.25,1.775,1.0,-0.1263570050488897
0.1,0.25,1.775,1.25,-0.1263570050488897
0.1,0.25,1.775,1.5,-0.1263570050488897
0.1,0.25,1.775,1.75,-0.1263570050488897
0.1,0.25,1.775,2.0,-0.1263570050488897
0.1,0.25,2.0,1.0,-0.10519937020392511
0.1,0.25,2.0,1.25,-0.10519937020392511
0.1,0.25,2.0,1.5,-0.10519937020392511
0.1,0.25,2.0,1.75,-0.10519937020392511
0.1,0.25,2.0,2.0,-0.10519937020392511
0.15000000000000002,0.05,1.1,1.0,-0.19219004425577302
0.15000000000000002,0.05,1.1,1.25,-0.19219004425577302
0.15000000000000002,0.05,1.1,1.5,-0.19219004425577302
0.15000000000000002,0.05,1.1,1.75,-0.19219004425577302
0.15000000000000002,0.05,1.1,2.0,-0.19219004425577302
0.15000000000000002,0.05,1.3250000000000002,1.0,0.06768528754140513
0.15000000000000002,0.05,1.3250000000000002,1.25,0.06768528754140513
0.15000000000000002,0.05,1.3250000000000002,1.5,0.06768528754140513
0.15000000000000002,0.05,1.3250000000000002,1.75,0.06768528754140513
0.15000000000000002,0.05,1.3250000000000002,2.0,0.06768528754140513
0.15000000000000002,0.05,1.55,1.0,-0.11174065990027127
0.15000000000000002,0.05,1.55,1.25,-0.11174065990027127
0.15000000000000002,0.05,1.55,1.5,-0.11174065990027127
0.15000000000000002,0.05,1.55,1.75,-0.11174065990027127
0.15000000000000002,0.05,1.55,2.0,-0.11174065990027127
0.15000000000000002,0.05,1.775,1.0,-0.16789903714346188
0.15000000000000002,0.05,1.775,1.25,-0.16789903714346188
0.15000000000000002,0.05,1.775,1.5,-0.16789903714346188
0.15000000000000002,0.05,1.775,1.75,-0.16789903714346188
0.15000000000000002,0.05,1.775,2.0,-0.16789903714346188
0.15000000000000002,0.05,2.0,1.0,-0.147747455286794
0.15000000000000002,0.05,2.0,1.25,-0.147747455286794
0.15000000000000002,0.05,2.0,1.5,-0.147747455286794
0.15000000000000002,0.05,2.0,1.75,-0.147747455286794
0.15000000000000002,0.05,2.0,2.0,-0.147747455286794
0.15000000000000002,0.1,1.1,1.0,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.25,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.5,-0.28517949907484197
0.15000000000000002,0.1,1.1,1.75,-0.28517949907484197
0.15000000000000002,0.1,1.1,2.0,-0.28517949907484197
0.15000000000000002,0.1,1.3250000000000002,1.0,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.25,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.5,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,1.75,-0.055219205156196605
0.15000000000000002,0.1,1.3250000000000002,2.0,-0.055219205156196605
0.15000000000000002,0.1,1.55,1.0,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.25,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.5,-0.11174065990027127
0.15000000000000002,0.1,1.55,1.75,-0.11174065990027127
0.15000000000000002,0.1,1.55,2.0,-0.11174065990027127
0.15000000000000002,0.1,1.775,1.0,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.25,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.5,-0.16789903714346188
0.15000000000000002,0.1,1.775,1.75,-0.16789903714346188
0.15000000000000002,0.1,1.775,2.0,-0.16789903714346188
0.15000000000000002,0.1,2.0,1.0,-0.147747455286794
0.15000000000000002,0.1,2.0,1.25,-0.147747455286794
0.15000000000000002,0.1,2.0,1.5,-0.147747455286794
0.15000000000000002,0.1,2.0,1.75,-0.147747455286794
0.15000000000000002,0.1,2.0,2.0,-0.147747455286794
0.15000000000000002,0.15000000000000002,1.1,1.0,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.25,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.5,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,1.75,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.1,2.0,-0.2634434429946245
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.15000000000000002,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,1.25,-0.1104394568616135
