C,A,vol_factor,ad_ratio,total_return
0.15000000000000002,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.15000000000000002,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.15000000000000002,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.15000000000000002,0.15000000000000002,2.0,1.0,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.25,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.5,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,1.75,-0.147747455286794
0.15000000000000002,0.15000000000000002,2.0,2.0,-0.147747455286794
0.15000000000000002,0.2,1.1,1.0,-0.2266713954950711
0.15000000000000002,0.2,1.1,1.25,-0.2266713954950711
0.15000000000000002,0.2,1.1,1.5,-0.2266713954950711
0.15000000000000002,0.2,1.1,1.75,-0.2266713954950711
0.15000000000000002,0.2,1.1,2.0,-0.2266713954950711
0.15000000000000002,0.2,1.3250000000000002,1.0,0.019568240733431663
0.15000000000000002,0.2,1.3250000000000002,1.25,0.019568240733431663
0.15000000000000002,0.2,1.3250000000000002,1.5,0.019568240733431663
0.15000000000000002,0.2,1.3250000000000002,1.75,0.019568240733431663
0.15000000000000002,0.2,1.3250000000000002,2.0,0.019568240733431663
0.15000000000000002,0.2,1.55,1.0,-0.06602879723894073
0.15000000000000002,0.2,1.55,1.25,-0.06602879723894073
0.15000000000000002,0.2,1.55,1.5,-0.06602879723894073
0.15000000000000002,0.2,1.55,1.75,-0.06602879723894073
0.15000000000000002,0.2,1.55,2.0,-0.06602879723894073
0.15000000000000002,0.2,1.775,1.0,-0.1263570050488897
0.15000000000000002,0.2,1.775,1.25,-0.1263570050488897
0.15000000000000002,0.2,1.775,1.5,-0.1263570050488897
0.15000000000000002,0.2,1.775,1.75,-0.1263570050488897
0.15000000000000002,0.2,1.775,2.0,-0.1263570050488897
0.15000000000000002,0.2,2.0,1.0,-0.10519937020392511
0.15000000000000002,0.2,2.0,1.25,-0.10519937020392511
0.15000000000000002,0.2,2.0,1.5,-0.10519937020392511
0.15000000000000002,0.2,2.0,1.75,-0.10519937020392511
0.15000000000000002,0.2,2.0,2.0,-0.10519937020392511
0.15000000000000002,0.25,1.1,1.0,-0.26078755953042454
0.15000000000000002,0.25,1.1,1.25,-0.26078755953042454
0.15000000000000002,0.25,1.1,1.5,-0.26078755953042454
0.15000000000000002,0.25,1.1,1.75,-0.26078755953042454
0.15000000000000002,0.25,1.1,2.0,-0.26078755953042454
0.15000000000000002,0.25,1.3250000000000002,1.0,0.019568240733431663
0.15000000000000002,0.25,1.3250000000000002,1.25,0.019568240733431663
0.15000000000000002,0.25,1.3250000000000002,1.5,0.019568240733431663
0.15000000000000002,0.25,1.3250000000000002,1.75,0.019568240733431663
0.15000000000000002,0.25,1.3250000000000002,2.0,0.019568240733431663
0.15000000000000002,0.25,1.55,1.0,-0.06602879723894073
0.15000000000000002,0.25,1.55,1.25,-0.06602879723894073
0.15000000000000002,0.25,1.55,1.5,-0.06602879723894073
0.15000000000000002,0.25,1.55,1.75,-0.06602879723894073
0.15000000000000002,0.25,1.55,2.0,-0.06602879723894073
0.15000000000000002,0.25,1.775,1.0,-0.1263570050488897
0.15000000000000002,0.25,1.775,1.25,-0.1263570050488897
0.15000000000000002,0.25,1.775,1.5,-0.1263570050488897
0.15000000000000002,0.25,1.775,1.75,-0.1263570050488897
0.15000000000000002,0.25,1.775,2.0,-0.1263570050488897
0.15000000000000002,0.25,2.0,1.0,-0.10519937020392511
0.15000000000000002,0.25,2.0,1.25,-0.10519937020392511
0.15000000000000002,0.25,2.0,1.5,-0.10519937020392511
0.15000000000000002,0.25,2.0,1.75,-0.10519937020392511
0.15000000000000002,0.25,2.0,2.0,-0.10519937020392511
0.2,0.05,1.1,1.0,-0.03503760785130916
0.2,0.05,1.1,1.25,-0.03503760785130916
0.2,0.05,1.1,1.5,-0.03503760785130916
0.2,0.05,1.1,1.75,-0.03503760785130916
0.2,0.05,1.1,2.0,-0.03503760785130916
0.2,0.05,1.3250000000000002,1.0,0.10335544527365714
0.2,0.05,1.3250000000000002,1.25,0.10335544527365714
0.2,0.05,1.3250000000000002,1.5,0.10335544527365714
0.2,0.05,1.3250000000000002,1.75,0.10335544527365714
0.2,0.05,1.3250000000000002,2.0,0.10335544527365714
0.2,0.05,1.55,1.0,-0.11174065990027127
0.2,0.05,1.55,1.25,-0.11174065990027127
0.2,0.05,1.55,1.5,-0.11174065990027127
0.2,0.05,1.55,1.75,-0.11174065990027127
0.2,0.05,1.55,2.0,-0.11174065990027127
0.2,0.05,1.775,1.0,-0.16789903714346188
0.2,0.05,1.775,1.25,-0.16789903714346188
0.2,0.05,1.775,1.5,-0.16789903714346188
0.2,0.05,1.775,1.75,-0.16789903714346188
0.2,0.05,1.775,2.0,-0.16789903714346188
0.2,0.05,2.0,1.0,-0.147747455286794
0.2,0.05,2.0,1.25,-0.147747455286794
0.2,0.05,2.0,1.5,-0.147747455286794
0.2,0.05,2.0,1.75,-0.147747455286794
0.2,0.05,2.0,2.0,-0.147747455286794
0.2,0.1,1.1,1.0,-0.14611735640942458
0.2,0.1,1.1,1.25,-0.14611735640942458
0.2,0.1,1.1,1.5,-0.14611735640942458
0.2,0.1,1.1,1.75,-0.14611735640942458
0.2,0.1,1.1,2.0,-0.14611735640942458
0.2,0.1,1.3250000000000002,1.0,-0.023655147500139417
0.2,0.1,1.3250000000000002,1.25,-0.023655147500139417
0.2,0.1,1.3250000000000002,1.5,-0.023655147500139417
0.2,0.1,1.3250000000000002,1.75,-0.023655147500139417
0.2,0.1,1.3250000000000002,2.0,-0.023655147500139417
0.2,0.1,1.55,1.0,-0.11174065990027127
0.2,0.1,1.55,1.25,-0.11174065990027127
0.2,0.1,1.55,1.5,-0.11174065990027127
0.2,0.1,1.55,1.75,-0.11174065990027127
0.2,0.1,1.55,2.0,-0.11174065990027127
0.2,0.1,1.775,1.0,-0.16789903714346188
0.2,0.1,1.775,1.25,-0.16789903714346188
0.2,0.1,1.775,1.5,-0.16789903714346188
0.2,0.1,1.775,1.75,-0.16789903714346188
0.2,0.1,1.775,2.0,-0.16789903714346188
0.2,0.1,2.0,1.0,-0.147747455286794
0.2,0.1,2.0,1.25,-0.147747455286794
0.2,0.1,2.0,1.5,-0.147747455286794
0.2,0.1,2.0,1.75,-0.147747455286794
0.2,0.1,2.0,2.0,-0.147747455286794
0.2,0.15000000000000002,1.1,1.0,-0.15811928049045054
0.2,0.15000000000000002,1.1,1.25,-0.15811928049045054
0.2,0.15000000000000002,1.1,1.5,-0.15811928049045054
0.2,0.15000000000000002,1.1,1.75,-0.15811928049045054
0.2,0.15000000000000002,1.1,2.0,-0.15811928049045054
0.2,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.2,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.2,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.2,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.2,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.2,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.2,0.15000000000000002,1.55,1.25,-0.1104394568616135
0.2,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.2,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.2,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.2,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.2,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.2,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.2,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.2,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.2,0.15000000000000002,2.0,1.0,-0.147747455286794
0.2,0.15000000000000002,2.0,1.25,-0.147747455286794
0.2,0.15000000000000002,2.0,1.5,-0.147747455286794
0.2,0.15000000000000002,2.0,1.75,-0.147747455286794
0.2,0.15000000000000002,2.0,2.0,-0.147747455286794
0.2,0.2,1.1,1.0,-0.11608900119644938
0.2,0.2,1.1,1.25,-0.11608900119644938
0.2,0.2,1.1,1.5,-0.11608900119644938
0.2,0.2,1.1,1.75,-0.11608900119644938
0.2,0.2,1.1,2.0,-0.11608900119644938
0.2,0.2,1.3250000000000002,1.0,0.019568240733431663
0.2,0.2,1.3250000000000002,1.25,0.019568240733431663
0.2,0.2,1.3250000000000002,1.5,0.019568240733431663
0.2,0.2,1.3250000000000002,1.75,0.019568240733431663
0.2,0.2,1.3250000000000002,2.0,0.019568240733431663
0.2,0.2,1.55,1.0,-0.06602879723894073
0.2,0.2,1.55,1.25,-0.06602879723894073
0.2,0.2,1.55,1.5,-0.06602879723894073
0.2,0.2,1.55,1.75,-0.06602879723894073
0.2,0.2,1.55,2.0,-0.06602879723894073
0.2,0.2,1.775,1.0,-0.1263570050488897
0.2,0.2,1.775,1.25,-0.1263570050488897
0.2,0.2,1.775,1.5,-0.1263570050488897
0.2,0.2,1.775,1.75,-0.1263570050488897
0.2,0.2,1.775,2.0,-0.1263570050488897
0.2,0.2,2.0,1.0,-0.10519937020392511
0.2,0.2,2.0,1.25,-0.10519937020392511
0.2,0.2,2.0,1.5,-0.10519937020392511
0.2,0.2,2.0,1.75,-0.10519937020392511
0.2,0.2,2.0,2.0,-0.10519937020392511
0.2,0.25,1.1,1.0,-0.15508361804130266
0.2,0.25,1.1,1.25,-0.15508361804130266
0.2,0.25,1.1,1.5,-0.15508361804130266
0.2,0.25,1.1,1.75,-0.15508361804130266
0.2,0.25,1.1,2.0,-0.15508361804130266
0.2,0.25,1.3250000000000002,1.0,0.019568240733431663
0.2,0.25,1.3250000000000002,1.25,0.019568240733431663
0.2,0.25,1.3250000000000002,1.5,0.019568240733431663
0.2,0.25,1.3250000000000002,1.75,0.019568240733431663
0.2,0.25,1.3250000000000002,2.0,0.019568240733431663
0.2,0.25,1.55,1.0,-0.06602879723894073
0.2,0.25,1.55,1.25,-0.06602879723894073
0.2,0.25,1.55,1.5,-0.06602879723894073
0.2,0.25,1.55,1.75,-0.06602879723894073
0.2,0.25,1.55,2.0,-0.06602879723894073
0.2,0.25,1.775,1.0,-0.1263570050488897
0.2,0.25,1.775,1.25,-0.1263570050488897
0.2,0.25,1.775,1.5,-0.1263570050488897
0.2,0.25,1.775,1.75,-0.1263570050488897
0.2,0.25,1.775,2.0,-0.1263570050488897
0.2,0.25,2.0,1.0,-0.10519937020392511
0.2,0.25,2.0,1.25,-0.10519937020392511
0.2,0.25,2.0,1.5,-0.10519937020392511
0.2,0.25,2.0,1.75,-0.10519937020392511
0.2,0.25,2.0,2.0,-0.10519937020392511
0.25,0.05,1.1,1.0,-0.00691247120546179
0.25,0.05,1.1,1.25,-0.00691247120546179
0.25,0.05,1.1,1.5,-0.00691247120546179
0.25,0.05,1.1,1.75,-0.00691247120546179
0.25,0.05,1.1,2.0,-0.00691247120546179
0.25,0.05,1.3250000000000002,1.0,-0.023655147500139417
0.25,0.05,1.3250000000000002,1.25,-0.023655147500139417
0.25,0.05,1.3250000000000002,1.5,-0.023655147500139417
0.25,0.05,1.3250000000000002,1.75,-0.023655147500139417
0.25,0.05,1.3250000000000002,2.0,-0.023655147500139417
0.25,0.05,1.55,1.0,-0.11174065990027127
0.25,0.05,1.55,1.25,-0.11174065990027127
0.25,0.05,1.55,1.5,-0.11174065990027127
0.25,0.05,1.55,1.75,-0.11174065990027127
0.25,0.05,1.55,2.0,-0.11174065990027127
0.25,0.05,1.775,1.0,-0.16789903714346188
0.25,0.05,1.775,1.25,-0.16789903714346188
0.25,0.05,1.775,1.5,-0.16789903714346188
0.25,0.05,1.775,1.75,-0.16789903714346188
0.25,0.05,1.775,2.0,-0.16789903714346188
0.25,0.05,2.0,1.0,-0.147747455286794
0.25,0.05,2.0,1.25,-0.147747455286794
0.25,0.05,2.0,1.5,-0.147747455286794
0.25,0.05,2.0,1.75,-0.147747455286794
0.25,0.05,2.0,2.0,-0.147747455286794
0.25,0.1,1.1,1.0,-0.00691247120546179
0.25,0.1,1.1,1.25,-0.00691247120546179
0.25,0.1,1.1,1.5,-0.00691247120546179
0.25,0.1,1.1,1.75,-0.00691247120546179
0.25,0.1,1.1,2.0,-0.00691247120546179
0.25,0.1,1.3250000000000002,1.0,-0.023655147500139417
0.25,0.1,1.3250000000000002,1.25,-0.023655147500139417
0.25,0.1,1.3250000000000002,1.5,-0.023655147500139417
0.25,0.1,1.3250000000000002,1.75,-0.023655147500139417
0.25,0.1,1.3250000000000002,2.0,-0.023655147500139417
0.25,0.1,1.55,1.0,-0.11174065990027127
0.25,0.1,1.55,1.25,-0.11174065990027127
0.25,0.1,1.55,1.5,-0.11174065990027127
0.25,0.1,1.55,1.75,-0.11174065990027127
0.25,0.1,1.55,2.0,-0.11174065990027127
0.25,0.1,1.775,1.0,-0.16789903714346188
0.25,0.1,1.775,1.25,-0.16789903714346188
0.25,0.1,1.775,1.5,-0.16789903714346188
0.25,0.1,1.775,1.75,-0.16789903714346188
0.25,0.1,1.775,2.0,-0.16789903714346188
0.25,0.1,2.0,1.0,-0.147747455286794
0.25,0.1,2.0,1.25,-0.147747455286794
0.25,0.1,2.0,1.5,-0.147747455286794
0.25,0.1,2.0,1.75,-0.147747455286794
0.25,0.1,2.0,2.0,-0.147747455286794
0.25,0.15000000000000002,1.1,1.0,-0.02381229674183527
0.25,0.15000000000000002,1.1,1.25,-0.02381229674183527
0.25,0.15000000000000002,1.1,1.5,-0.02381229674183527
0.25,0.15000000000000002,1.1,1.75,-0.02381229674183527
0.25,0.15000000000000002,1.1,2.0,-0.02381229674183527
0.25,0.15000000000000002,1.3250000000000002,1.0,-0.0289125881908876
0.25,0.15000000000000002,1.3250000000000002,1.25,-0.0289125881908876
0.25,0.15000000000000002,1.3250000000000002,1.5,-0.0289125881908876
0.25,0.15000000000000002,1.3250000000000002,1.75,-0.0289125881908876
0.25,0.15000000000000002,1.3250000000000002,2.0,-0.0289125881908876
0.25,0.15000000000000002,1.55,1.0,-0.1104394568616135
0.25,0.15000000000000002,1.55,1.25,-0.1104394568616135
0.25,0.15000000000000002,1.55,1.5,-0.1104394568616135
0.25,0.15000000000000002,1.55,1.75,-0.1104394568616135
0.25,0.15000000000000002,1.55,2.0,-0.1104394568616135
0.25,0.15000000000000002,1.775,1.0,-0.16789903714346188
0.25,0.15000000000000002,1.775,1.25,-0.16789903714346188
0.25,0.15000000000000002,1.775,1.5,-0.16789903714346188
0.25,0.15000000000000002,1.775,1.75,-0.16789903714346188
0.25,0.15000000000000002,1.775,2.0,-0.16789903714346188
0.25,0.15000000000000002,2.0,1.0,-0.147747455286794
0.25,0.15000000000000002,2.0,1.25,-0.147747455286794
0.25,0.15000000000000002,2.0,1.5,-0.147747455286794
0.25,0.15000000000000002,2.0,1.75,-0.147747455286794
0.25,0.15000000000000002,2.0,2.0,-0.147747455286794
0.25,0.2,1.1,1.0,0.024923160503475872
0.25,0.2,1.1,1.25,0.024923160503475872
0.25,0.2,1.1,1.5,0.024923160503475872
0.25,0.2,1.1,1.75,0.024923160503475872
0.25,0.2,1.1,2.0,0.024923160503475872
0.25,0.2,1.3250000000000002,1.0,0.019568240733431663
0.25,0.2,1.3250000000000002,1.25,0.019568240733431663
0.25,0.2,1.3250000000000002,1.5,0.019568240733431663
0.25,0.2,1.3250000000000002,1.75,0.019568240733431663
0.25,0.2,1.3250000000000002,2.0,0.019568240733431663
0.25,0.2,1.55,1.0,-0.06602879723894073
0.25,0.2,1.55,1.25,-0.06602879723894073
0.25,0.2,1.55,1.5,-0.06602879723894073
0.25,0.2,1.55,1.75,-0.06602879723894073
0.25,0.2,1.55,2.0,-0.06602879723894073
0.25,0.2,1.775,1.0,-0.1263570050488897
0.25,0.2,1.775,1.25,-0.1263570050488897
0.25,0.2,1.775,1.5,-0.1263570050488897
0.25,0.2,1.775,1.75,-0.1263570050488897
0.25,0.2,1.775,2.0,-0.1263570050488897
0.25,0.2,2.0,1.0,-0.10519937020392511
0.25,0.2,2.0,1.25,-0.10519937020392511
0.25,0.2,2.0,1.5,-0.10519937020392511
0.25,0.2,2.0,1.75,-0.10519937020392511
0.25,0.2,2.0,2.0,-0.10519937020392511
0.25,0.25,1.1,1.0,-0.02029234874275654
0.25,0.25,1.1,1.25,-0.02029234874275654
0.25,0.25,1.1,1.5,-0.02029234874275654
0.25,0.25,1.1,1.75,-0.02029234874275654
0.25,0.25,1.1,2.0,-0.02029234874275654
0.25,0.25,1.3250000000000002,1.0,0.019568240733431663
0.25,0.25,1.3250000000000002,1.25,0.019568240733431663
0.25,0.25,1.3250000000000002,1.5,0.019568240733431663
0.25,0.25,1.3250000000000002,1.75,0.019568240733431663
0.25,0.25,1.3250000000000002,2.0,0.019568240733431663
0.25,0.25,1.55,1.0,-0.06602879723894073
0.25,0.25,1.55,1.25,-0.06602879723894073
0.25,0.25,1.55,1.5,-0.06602879723894073
0.25,0.25,1.55,1.75,-0.06602879723894073
0.25,0.25,1.55,2.0,-0.06602879723894073
0.25,0.25,1.775,1.0,-0.1263570050488897
0.25,0.25,1.775,1.25,-0.1263570050488897
0.25,0.25,1.775,1.5,-0.1263570050488897
0.25,0.25,1.775,1.75,-0.1263570050488897
0.25,0.25,1.775,2.0,-0.1263570050488897
0.25,0.25,2.0,1.0,-0.10519937020392511
0.25,0.25,2.0,1.25,-0.10519937020392511
0.25,0.25,2.0,1.5,-0.10519937020392511
0.25,0.25,2.0,1.75,-0.10519937020392511
0.25,0.25,2.0,2.0,-0.10519937020392511
