ticker,entry_1,exit_1,entry_2,exit_2,entry_3,exit_3,num_entries,num_exits
DIGI,1996-01-02,1998-08-26,,,,,1,1
EKDKQ,1996-01-02,2010-12-17,,,,,1,1
GPC,1996-01-02,,,,,,1,0
MMM,1996-01-02,,,,,,1,0
VAT,1996-01-02,1996-08-28,,,,,1,1
NC,1996-01-02,2000-06-02,,,,,1,1
VFC,1996-01-02,2024-04-03,,,,,1,1
ADM,1996-01-02,,,,,,1,0
TJX,1996-01-02,,,,,,1,0
PAC,1996-01-02,1997-03-19,,,,,1,1
UST,1996-01-02,2009-01-05,,,,,1,1
MS,1996-01-02,,,,,,1,0
CBB,1996-01-02,1998-01-26,,,,,1,1
BDK,1996-01-02,2010-03-11,,,,,1,1
HET,1996-01-02,2008-01-24,,,,,1,1
SNT,1996-01-02,1999-10-25,,,,,1,1
BSX,1996-01-02,,,,,,1,0
RML,1996-01-02,2000-12-11,,,,,1,1
CYR,1996-01-02,1996-03-25,,,,,1,1
PGL,1996-01-02,2007-02-16,,,,,1,1
SGID,1996-01-02,2000-06-20,,,,,1,1
NLC,1996-01-02,1999-07-30,,,,,1,1
TMC.A,1996-01-02,2000-06-09,,,,,1,1
SLB,1996-01-02,,,,,,1,0
ACV,1996-01-02,2006-11-16,,,,,1,1
TAP,1996-01-02,,,,,,1,0
PET,1996-01-02,1998-06-26,,,,,1,1
JOS,1996-01-02,2000-05-09,,,,,1,1
AR,1996-01-02,1999-10-26,,,,,1,1
IPG,1996-01-02,,,,,,1,0
LB,1996-01-02,2021-07-21,,,,,1,1
PDG,1996-01-02,2002-07-18,,,,,1,1
UMG,1996-01-02,2000-06-13,,,,,1,1
LPX,1996-01-02,2006-11-07,,,,,1,1
AMP,1996-01-02,1999-03-30,2005-10-03,,,,2,1
SVU,1996-01-02,2012-04-30,,,,,1,1
BKB,1996-01-02,1999-09-30,,,,,1,1
BUD,1996-01-02,2008-11-17,,,,,1,1
AVY,1996-01-02,,,,,,1,0
LSI,1996-01-02,2014-05-06,,,,,1,1
EFU,1996-01-02,2000-10-30,,,,,1,1
TGNA,1996-01-02,2017-05-23,,,,,1,1
MWV,1996-01-02,2015-07-01,,,,,1,1
CVS,1996-01-02,,,,,,1,0
TGT,1996-01-02,,,,,,1,0
BFO,1996-01-02,2000-10-02,,,,,1,1
PCG,1996-01-02,2019-01-11,2022-10-03,,,,2,1
THC,1996-01-02,2016-04-15,,,,,1,1
FJ,1996-01-02,2000-11-22,,,,,1,1
PBY,1996-01-02,2000-03-29,,,,,1,1
AVP,1996-01-02,2015-03-19,,,,,1,1
CRR,1996-01-02,1997-05-19,,,,,1,1
RNB,1996-01-02,1999-12-31,,,,,1,1
TLAB,1996-01-02,2011-12-20,,,,,1,1
TA,1996-01-02,1999-07-20,,,,,1,1
CMI,1996-01-02,,,,,,1,0
CPQ,1996-01-02,2002-05-01,,,,,1,1
HPH,1996-01-02,1999-06-08,,,,,1,1
COMS,1996-01-02,2000-07-27,,,,,1,1
FCX,1996-01-02,,,,,,1,0
OXY,1996-01-02,,,,,,1,0
RDC,1996-01-02,2014-08-13,,,,,1,1
BLY,1996-01-02,1996-12-18,,,,,1,1
TEN,1996-01-02,1999-10-29,,,,,1,1
FE,1996-01-02,,,,,,1,0
MMC,1996-01-02,,,,,,1,0
IBM,1996-01-02,,,,,,1,0
YRCW,1996-01-02,1996-10-28,,,,,1,1
BNI,1996-01-02,2010-02-10,,,,,1,1
PEL,1996-01-02,1997-06-18,,,,,1,1
PPL,1996-01-02,,,,,,1,0
AAPL,1996-01-02,,,,,,1,0
KRB,1996-01-02,2005-12-29,,,,,1,1
MOB,1996-01-02,1999-11-30,,,,,1,1
AHM,1996-01-02,1998-09-30,,,,,1,1
SFS,1996-01-02,1997-07-25,,,,,1,1
CHRS,1996-01-02,1998-04-07,,,,,1,1
USB,1996-01-02,,,,,,1,0
UNP,1996-01-02,,,,,,1,0
MZIAQ,1996-01-02,2000-06-27,,,,,1,1
MRO,1996-01-02,2024-11-22,,,,,1,1
DOV,1996-01-02,,,,,,1,0
MWI,1996-01-02,1999-05-19,,,,,1,1
PEG,1996-01-02,,,,,,1,0
PPW,1996-01-02,1999-11-29,,,,,1,1
MAS,1996-01-02,,,,,,1,0
BOL,1996-01-02,2007-10-26,,,,,1,1
HUM,1996-01-02,,,,,,1,0
AS,1996-01-02,1998-11-23,,,,,1,1
UTX,1996-01-02,2020-03-03,,,,,1,1
GWW,1996-01-02,,,,,,1,0
PKI,1996-01-02,2023-05-17,,,,,1,1
BF-B,1996-01-02,2023-05-07,2023-05-14,,,,2,1
AXP,1996-01-02,,,,,,1,0
NEE,1996-01-02,,,,,,1,0
CPB,1996-01-02,,,,,,1,0
LMT,1996-01-02,,,,,,1,0
ABI,1996-01-02,2008-11-20,,,,,1,1
CYM,1996-01-02,1999-10-14,,,,,1,1
ROH,1996-01-02,2009-04-01,,,,,1,1
PNU,1996-01-02,2000-03-29,,,,,1,1
ETS,1996-01-02,2001-08-03,,,,,1,1
TXT,1996-01-02,,,,,,1,0
HLT,1996-01-02,2007-10-24,2017-06-19,,,,2,1
PNC,1996-01-02,,,,,,1,0
TX,1996-01-02,2001-10-04,,,,,1,1
FMC,1996-01-02,2001-12-24,2009-08-19,,,,2,1
AAMRQ,1996-01-02,2003-03-10,,,,,1,1
MAY,1996-01-02,2005-08-22,,,,,1,1
TWX,1996-01-02,2018-06-14,,,,,1,1
CSE,1996-01-22,1999-11-12,,,,,1,1
BAY,1996-02-12,1998-08-28,,,,,1,1
FITB,1996-03-08,,,,,,1,0
GNT,1996-03-13,1998-06-30,,,,,1,1
WCOEQ,1996-04-01,2002-05-14,,,,,1,1
NLV,1996-04-01,2000-01-05,,,,,1,1
AON,1996-04-23,,,,,,1,0
TUP,1996-05-31,2004-03-17,,,,,1,1
MTG,1996-07-19,2008-10-28,,,,,1,1
BMGCA,1996-07-22,1999-08-06,,,,,1,1
HFS,1996-08-16,1997-12-12,,,,,1,1
SEG,1996-08-16,2000-11-20,,,,,1,1
LU,1996-10-01,2006-11-22,,,,,1,1
UPR,1996-10-16,2000-07-14,,,,,1,1
RX,1996-11-04,2010-02-23,,,,,1,1
MBI,1996-12-03,2009-12-17,,,,,1,1
GDT,1996-12-19,2006-04-21,,,,,1,1
AZO,1997-01-02,,,,,,1,0
FRO,1997-01-02,1999-09-21,,,,,1,1
TMO,1997-01-02,,,,,,1,0
EHC,1997-01-08,2003-03-20,,,,,1,1
CNC,1997-01-15,2002-07-24,2016-03-30,,,,2,1
PTC,1997-04-03,2006-12-29,2021-04-20,,,,2,1
ADBE,1997-05-06,,,,,,1,0
CAH,1997-05-27,,,,,,1,0
SCHW,1997-06-02,,,,,,1,0
CFC,1997-06-18,2008-06-30,,,,,1,1
EFX,1997-06-19,,,,,,1,0
WAMUQ,1997-07-02,2008-09-26,,,,,1,1
SAI,1997-07-17,1998-12-31,,,,,1,1
APC,1997-07-28,2019-08-08,,,,,1,1
APA,1997-07-28,,,,,,1,0
PGR,1997-08-04,,,,,,1,0
OI,1997-08-04,2000-12-08,2009-01-02,2016-11-29,,,2,2
HBAN,1997-08-06,,,,,,1,0
MIR,1997-08-07,2000-05-30,2001-04-03,2003-07-16,,,2,2
STT,1997-08-18,,,,,,1,0
CCU,1997-09-02,2008-07-29,,,,,1,1
KLAC,1997-09-15,,,,,,1,0
YUM,1997-10-07,,,,,,1,0
HBOC,1997-10-23,1999-01-07,,,,,1,1
SNV,1997-12-01,2007-12-31,,,,,1,1
BBT,1997-12-04,2019-12-05,,,,,1,1
CINF,1997-12-18,,,,,,1,0
OMC,1997-12-24,,,,,,1,0
LEHMQ,1998-01-12,2008-09-16,,,,,1,1
BIG,1998-01-20,2013-02-06,,,,,1,1
SUB,1998-01-28,2001-02-27,,,,,1,1
NTRS,1998-01-30,,,,,,1,0
MTL,1998-02-23,1999-09-17,,,,,1,1
SEE,1998-04-01,2023-12-16,,,,,1,1
NXTL,1998-04-01,2005-08-12,,,,,1,1
AFS.A,1998-04-08,2000-11-29,,,,,1,1
GTW,1998-04-27,2006-07-31,,,,,1,1
BEN,1998-04-29,,,,,,1,0
MAR,1998-05-21,,,,,,1,0
ASND,1998-06-12,1999-06-24,,,,,1,1
SRE,1998-06-29,,,,,,1,0
SLM,1998-07-01,2014-04-22,,,,,1,1
BSC,1998-07-01,2008-05-29,,,,,1,1
COF,1998-07-01,,,,,,1,0
FMY,1998-07-10,1999-05-19,,,,,1,1
DG,1998-07-16,2007-07-06,2012-12-03,,,,2,1
WM,1998-07-17,,,,,,1,0
EDS,1998-08-11,2008-08-25,,,,,1,1
KSS,1998-08-14,2020-09-18,,,,,1,1
RF,1998-08-28,,,,,,1,0
PVT,1998-08-31,1999-06-30,,,,,1,1
NGH,1998-09-16,2000-12-11,,,,,1,1
HCR,1998-09-28,2007-11-05,,,,,1,1
PAYX,1998-10-01,,,,,,1,0
UPC,1998-10-01,2004-06-28,,,,,1,1
PSFT,1998-10-02,2004-12-27,,,,,1,1
AES,1998-10-02,,,,,,1,0
SPLS,1998-10-07,2017-09-12,,,,,1,1
NCE,1998-11-03,2000-08-17,,,,,1,1
SWY,1998-11-13,2015-01-15,,,,,1,1
DHR,1998-11-18,,,,,,1,0
PCS,1998-11-24,2004-04-19,,,,,1,1
CCL,1998-12-22,,,,,,1,0
SLR,1998-12-31,2007-10-01,,,,,1,1
MCK,1999-01-13,,,,,,1,0
SOTR,1999-03-01,2004-10-28,,,,,1,1
ASO,1999-03-10,2006-10-31,,,,,1,1
CTL,1999-03-25,2020-06-22,,,,,1,1
KSU,1999-04-05,2000-07-10,2013-05-24,2021-10-04,,,2,2
CMS,1999-05-03,,,,,,1,0
DPHIQ,1999-05-28,2005-10-10,,,,,1,1
AFL,1999-05-28,,,,,,1,0
PWJ,1999-06-04,2000-11-03,,,,,1,1
WLP,1999-06-09,2004-11-26,,,,,1,1
FPC,1999-06-22,2000-11-29,,,,,1,1
ODP,1999-06-24,2010-12-17,,,,,1,1
NTAP,1999-06-25,,,,,,1,0
BBY,1999-06-30,,,,,,1,0
VMC,1999-07-01,,,,,,1,0
QCOM,1999-07-22,,,,,,1,0
AW,1999-08-02,2008-12-04,,,,,1,1
ADCT,1999-08-02,2007-06-26,,,,,1,1
COC.B,1999-08-09,2002-08-29,,,,,1,1
LXK,1999-08-13,2012-09-25,,,,,1,1
TOS,1999-09-20,2001-09-10,,,,,1,1
GX,1999-09-29,2001-10-04,,,,,1,1
SXCL,1999-10-01,2001-05-10,,,,,1,1
BBBY,1999-10-01,2017-07-25,,,,,1,1
PNW,1999-10-04,,,,,,1,0
ADI,1999-10-12,,,,,,1,0
TROW,1999-10-13,,,,,,1,0
LEG,1999-10-18,2021-12-14,,,,,1,1
EP,1999-10-26,2012-05-23,,,,,1,1
CMVT,1999-10-27,2007-01-24,,,,,1,1
XLNX,1999-11-08,2022-02-02,,,,,1,1
TER,1999-11-15,2013-12-18,2020-09-21,,,,2,1
QTRN,1999-11-16,2003-09-16,,,,,1,1
MOLX,1999-12-01,2013-12-03,,,,,1,1
CTXS,1999-12-01,2022-09-19,,,,,1,1
OK,1999-12-02,2001-03-30,,,,,1,1
NCR,2000-01-04,2007-09-28,,,,,1,1
YNR,2000-01-06,2000-10-02,,,,,1,1
CNXT,2000-01-31,2002-06-19,,,,,1,1
BGEN,2000-01-31,2003-11-12,,,,,1,1
HOG,2000-01-31,2020-05-22,,,,,1,1
TSG,2000-03-16,2007-03-30,,,,,1,1
LLTC,2000-04-03,2017-03-10,,,,,1,1
VRTS,2000-04-03,2005-06-30,,,,,1,1
SAPE,2000-05-05,2002-05-10,,,,,1,1
SEBL,2000-05-05,2006-01-30,,,,,1,1
MXIM,2000-05-10,2007-09-26,2018-12-03,2021-08-03,,,2,2
APCC,2000-06-01,2007-02-14,,,,,1,1
A,2000-06-05,,,,,,1,0
SBUX,2000-06-08,,,,,,1,0
CVG,2000-06-13,2009-12-17,,,,,1,1
MEDI,2000-06-16,2007-05-31,,,,,1,1
CF,2000-06-19,2004-08-26,2008-08-27,,,,2,1
TIF,2000-06-21,2020-12-21,,,,,1,1
SANM,2000-06-21,2007-06-26,,,,,1,1
MERQ,2000-06-29,2006-01-03,,,,,1,1
VSTNQ,2000-06-29,2005-12-29,,,,,1,1
BRCM,2000-07-03,2016-01-26,,,,,1,1
JNS,2000-07-13,2011-11-18,,,,,1,1
CIT.A,2000-07-17,2001-05-31,,,,,1,1
VIAV,2000-07-27,2013-12-18,,,,,1,1
PALM,2000-07-28,2002-08-09,,,,,1,1
KSE,2000-08-21,2007-08-24,,,,,1,1
DVN,2000-08-30,,,,,,1,0
AV,2000-10-02,2007-10-25,,,,,1,1
DYN,2000-10-03,2009-12-17,,,,,1,1
NBR,2000-10-18,2015-03-19,,,,,1,1
PWER,2000-10-23,2005-03-09,,,,,1,1
NI,2000-11-02,,,,,,1,0
EOG,2000-11-02,,,,,,1,0
BVSN,2000-11-06,2001-08-31,,,,,1,1
FRX,2000-11-22,2014-06-24,,,,,1,1
CHIR,2000-11-24,2006-04-19,,,,,1,1
CPNLQ,2000-12-01,2005-11-28,,,,,1,1
RHI,2000-12-05,2024-06-22,,,,,1,1
AYE,2000-12-11,2011-02-23,,,,,1,1
INTU,2000-12-11,,,,,,1,0
SBL,2000-12-11,2007-01-05,,,,,1,1
ABKFQ,2000-12-11,2008-06-10,,,,,1,1
MET,2000-12-11,,,,,,1,0
VTSS,2000-12-12,2002-08-19,,,,,1,1
KMI,2000-12-12,2007-05-24,2012-05-25,,,,2,1
SYK,2000-12-12,,,,,,1,0
QLGC,2000-12-12,2011-01-12,,,,,1,1
FLR,2000-12-22,2019-06-01,,,,,1,1
AMCC,2001-01-02,2006-05-10,,,,,1,1
JBL,2001-01-30,2014-10-24,2023-12-17,,,,2,1
UVN,2001-02-07,2007-03-28,,,,,1,1
FTR,2001-02-27,2017-03-17,,,,,1,1
CTAS,2001-03-01,,,,,,1,0
FISV,2001-04-02,2023-06-07,,,,,1,1
CE,2001-04-02,2004-02-26,2018-12-24,,,,2,1
PBG,2001-05-14,2010-02-26,,,,,1,1
MWW,2001-06-04,2011-12-14,,,,,1,1
ZION,2001-06-25,2024-03-17,,,,,1,1
JHF,2001-06-29,2004-04-28,,,,,1,1
COL,2001-07-02,2018-11-15,,,,,1,1
AWE,2001-07-09,2004-10-26,,,,,1,1
PMCS,2001-08-03,2007-06-26,,,,,1,1
FDO,2001-08-06,2015-07-06,,,,,1,1
ZBH,2001-08-07,,,,,,1,0
ABC,2001-08-30,2023-08-30,2023-09-01,2023-09-01,,,2,2
CIEN,2001-08-30,2009-12-17,,,,,1,1
IGT,2001-09-04,2014-06-19,,,,,1,1
IMNX,2001-09-21,2002-07-10,,,,,1,1
TE,2001-10-10,2016-06-27,,,,,1,1
EOP,2001-10-10,2007-02-09,,,,,1,1
HMA,2001-11-07,2007-02-26,,,,,1,1
NVDA,2001-11-30,,,,,,1,0
EQR,2001-12-03,,,,,,1,0
GENZ,2001-12-14,2011-04-01,,,,,1,1
JNY,2001-12-17,2009-03-02,,,,,1,1
WAT,2002-01-02,,,,,,1,0
RATL,2002-02-01,2003-02-18,,,,,1,1
FHN,2002-05-06,2013-06-19,,,,,1,1
TT,2002-05-13,2008-06-05,2020-03-03,,,,2,1
APOL,2002-05-15,2013-06-27,,,,,1,1
BJS,2002-05-15,2010-04-21,,,,,1,1
SPG,2002-06-26,,,,,,1,0
NFB,2002-07-17,2006-11-22,,,,,1,1
GS,2002-07-22,,,,,,1,0
SDS,2002-07-22,2005-08-11,,,,,1,1
UPS,2002-07-22,,,,,,1,0
EBAY,2002-07-22,,,,,,1,0
PFG,2002-07-22,,,,,,1,0
PRU,2002-07-22,,,,,,1,0
EA,2002-07-22,,,,,,1,0
ANTM,2002-07-25,2022-06-21,,,,,1,1
RAI,2002-09-04,2017-07-20,,,,,1,1
DGX,2002-12-12,,,,,,1,0
AIV,2003-03-14,2020-11-17,,,,,1,1
MKC,2003-03-21,,,,,,1,0
SYMC,2003-03-31,2019-10-18,,,,,1,1
FII,2003-04-16,2012-12-28,,,,,1,1
PLD,2003-07-17,,,,,,1,0
MHS,2003-08-20,2012-03-22,,,,,1,1
ESRX,2003-09-26,2018-12-19,,,,,1,1
BIIB,2003-11-13,,,,,,1,0
MTB,2004-02-27,,,,,,1,0
CMX,2004-03-25,2007-03-22,,,,,1,1
ETFC,2004-04-01,2020-09-21,,,,,1,1
ACS,2004-04-02,2010-02-02,,,,,1,1
MYL,2004-04-23,2020-10-12,,,,,1,1
VLO,2004-04-29,,,,,,1,0
HSP,2004-05-03,2015-09-01,,,,,1,1
SOV,2004-07-01,2009-01-28,,,,,1,1
GILD,2004-07-01,,,,,,1,0
FSH,2004-08-03,2006-11-07,,,,,1,1
TPR,2004-09-01,,,,,,1,0
CITGQ,2004-10-27,2009-07-17,,,,,1,1
LH,2004-11-01,,,,,,1,0
FSL,2004-12-03,2006-12-01,,,,,1,1
ASN,2004-12-20,2007-10-04,,,,,1,1
CBSS,2004-12-20,2007-09-04,,,,,1,1
XTO,2004-12-29,2010-06-21,,,,,1,1
NOV,2005-03-14,2021-08-30,,,,,1,1
DHI,2005-07-05,,,,,,1,0
STZ,2005-07-05,,,,,,1,0
WFT,2005-07-22,2009-02-25,,,,,1,1
TSN,2005-08-11,,,,,,1,0
VNO,2005-08-12,2022-12-22,,,,,1,1
MUR,2005-08-15,2017-07-25,,,,,1,1
PSA,2005-08-19,,,,,,1,0
LEN,2005-10-04,,,,,,1,0
PDCO,2005-10-11,2018-03-16,,,,,1,1
AMZN,2005-11-21,,,,,,1,0
